activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
relu,0.0001,"(16, 16)",0.01,0.949285263,0.023179702,0.912117754,0.02358951,0.993177318,0.001878248,0.993263126,0.001861195,7.814397621,1.827082776
relu,0.1,"(64, 64)",0.01,0.941833088,0.019954276,0.912033559,0.023760043,0.993024405,0.002362561,0.993219507,0.002238905,16.97077465,3.814636215
relu,0.1,"(32,)",0.01,0.934481647,0.019581975,0.911554819,0.016860468,0.993336801,0.001290692,0.993541582,0.001266897,6.16818943,1.596160638
tanh,0.1,"(128,)",0.01,0.949097296,0.023683347,0.910289045,0.020004851,0.993009684,0.001584498,0.993106204,0.00153629,6.697365332,1.663833688
tanh,0.1,"(64, 64)",0.01,0.937158242,0.033984596,0.908129127,0.03188125,0.992779771,0.002812345,0.993043469,0.002554246,7.84661684,1.408222382
relu,0.0001,"(128,)",0.1,0.930010218,0.029343241,0.898641021,0.041033203,0.989112634,0.009632467,0.988805228,0.010657306,11.66147089,1.646264251
relu,0.01,"(16,)",0.1,0.932104107,0.024699952,0.8972985,0.025166312,0.99057676,0.003203929,0.990788717,0.003177946,3.962621784,0.836576478
relu,0.001,"(32,)",0.1,0.930408422,0.027379228,0.874181989,0.088567148,0.986088833,0.015497057,0.984713517,0.01858853,4.806363773,1.163522575
relu,0.0001,"(16,)",0.1,0.930975091,0.056311274,0.866875594,0.082615642,0.981416684,0.016321996,0.982732278,0.014538637,4.396727991,0.800698016
relu,0.01,"(16, 16)",0.1,0.908907921,0.068725429,0.852936538,0.114067892,0.9839572,0.018442761,0.986656091,0.013494685,6.245825386,1.339306294
relu,0.1,"(8,)",0.01,0.900830872,0.082649409,0.84286767,0.147706662,0.984235926,0.018973337,0.987285945,0.013312719,5.849264193,1.469749082
relu,0.01,"(128,)",0.1,0.906465547,0.067660972,0.837673565,0.114497346,0.97945468,0.018812988,0.982814665,0.014963225,9.939540625,3.093712364
relu,0.001,"(128,)",0.1,0.899788698,0.071589538,0.832234189,0.11923538,0.978307545,0.020086035,0.982263601,0.015479186,11.83813424,2.426521151
relu,0.1,"(32,)",0.1,0.904102697,0.070359595,0.828720957,0.115454167,0.978170128,0.019120115,0.980283708,0.015931654,4.929890537,1.182043655
tanh,0.01,"(64,)",0.1,0.912364733,0.050081121,0.827500475,0.110779912,0.984225356,0.010169529,0.983695379,0.011643665,4.334677792,1.015240183
relu,0.0001,"(64,)",0.1,0.899436971,0.060888831,0.819042363,0.088270992,0.970730269,0.014529715,0.973596116,0.011701699,5.472439051,1.678636275
relu,0.1,"(16,)",0.1,0.88966276,0.078914052,0.817113056,0.128009292,0.977240439,0.020519053,0.979112986,0.018253794,5.140672445,1.420765766
relu,0.01,"(64,)",0.1,0.89460504,0.065769363,0.812503967,0.081398133,0.96969663,0.013947632,0.969857231,0.013553506,5.310380173,0.807757863
relu,0.1,"(64,)",0.1,0.878277402,0.055340504,0.806007397,0.102690641,0.976109705,0.015134348,0.975089396,0.016000442,6.648870993,1.41972741
relu,0.1,"(128,)",0.1,0.886613544,0.069648708,0.803088711,0.10160159,0.982095628,0.014470538,0.981921607,0.015784029,12.13240461,2.276493684
relu,0.001,"(16,)",0.1,0.891782023,0.067208139,0.80006938,0.100938542,0.970461387,0.018461006,0.976909469,0.01330962,3.763011694,0.939045831
relu,0.001,"(64,)",0.1,0.887777712,0.068340239,0.797931147,0.085637387,0.968064097,0.014791676,0.973390375,0.011219489,5.895522785,1.254886409
relu,0.01,"(32,)",0.1,0.87672321,0.112256972,0.783090733,0.203644394,0.974976844,0.024881881,0.98069001,0.017548655,4.835678482,0.782494447
relu,0.0001,"(32, 32)",0.1,0.896102277,0.125898749,0.783040286,0.22365298,0.979033673,0.024721711,0.982955553,0.016943095,8.949244547,1.98605534
relu,0.0001,"(32,)",0.1,0.886539376,0.11158135,0.782867179,0.198122961,0.973357903,0.0212505,0.975033002,0.018338843,5.361044025,1.142821269
relu,0.001,"(16, 16)",0.1,0.888870239,0.104951441,0.773808015,0.175541988,0.970834708,0.021621848,0.975104268,0.017022359,5.487522745,1.408798317
relu,0.001,"(32, 32)",0.1,0.862821081,0.121070635,0.771775278,0.220285178,0.974678948,0.025524315,0.980102367,0.018622801,8.41260314,2.780483398
tanh,0.1,"(16,)",0.1,0.876406552,0.099300231,0.764321669,0.178680777,0.976750683,0.021816246,0.980792664,0.015267656,2.231561279,0.794241937
tanh,0.01,"(128,)",0.1,0.860690555,0.096564999,0.759013628,0.179227377,0.976887332,0.022044491,0.981516724,0.015538431,5.259423876,1.363567503
relu,0.1,"(16, 16)",0.1,0.872682585,0.097957541,0.747328596,0.18467434,0.964839904,0.020683233,0.965610644,0.018958987,5.779861927,1.0848931
relu,0.0001,"(64, 64)",0.1,0.861818532,0.123678335,0.743863701,0.230985452,0.971346143,0.022822037,0.974486409,0.018452863,17.52819419,5.209836065
relu,0.1,"(32, 32)",0.1,0.844085886,0.141535731,0.723708525,0.240471388,0.966875225,0.026532052,0.972288946,0.020119343,8.074878073,2.136050692
relu,0.01,"(32, 32)",0.1,0.83753766,0.137486884,0.711636838,0.260969153,0.969958238,0.02940933,0.977731641,0.01967839,7.884343243,2.354728022
tanh,0.1,"(32,)",0.1,0.845509972,0.147611459,0.704912732,0.256746511,0.97016422,0.025804587,0.974958879,0.01811398,2.117667723,1.226391231
relu,0.001,"(64, 64)",0.1,0.834585997,0.177521101,0.69411601,0.351926211,0.969522473,0.032626761,0.976646615,0.02246739,18.92667837,3.861636155
tanh,0.01,"(32,)",0.1,0.833294751,0.130627317,0.685518872,0.246029857,0.978066254,0.015328288,0.981816784,0.011283737,3.47577877,1.220492314
tanh,0.1,"(8,)",0.1,0.813506395,0.173612116,0.665724367,0.363469937,0.972238561,0.030852124,0.978374506,0.020756598,2.319334269,0.740044646
